"Collection Name","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Host Collecton","Mariel L. Campbell","University of New Mexico","Museum of Southwestern Biology","1 University of New Mexico, MSC-03 2020","Albuquerque","NM","87131","USA"
"Vertebrate Paleontology","Darrin C. Pagnac","Museum of Geology","South Dakota School of Mines and Technology","501 E. St. Joseph","Rapid City","SD","57701","USA"
"Invertebrate Paleontology","Laurie C. Anderson","Museum of Geology","South Dakota School of Mines and Technology","501 E. St. Joseph","Rapid City","SD","57701","USA"
"Paleobotany","Sally Shelton","Museum of Geology","South Dakota School of Mines and Technology","501 E. St. Joseph","Rapid City","SD","57701","USA"
"Ichthyology","Karsten E. Hartel","Harvard University","Museum of Comparative Zoology","26 Oxford Street","Cambridge","MA","02138","USA"
"Vascular plants of inner anatolia","Cem Vural",,,,,,,"Turkey"
"Invertebrate Paleontology","Dr. Brenda Hunda",,,,"Cincinnati","Ohio","45203","USA"
"Vertebrate Paleontology","Dr. Glenn Storrs",,,,"Cincinnati","Ohio","45203","USA"
"Insects, Plants, Shells","Dr. Ann E. Kitalong","PO Box 666",,,"Koror",,"96940","Palau"
"Mammals","Jean Woods","P.O. Box 3937",,,"Wilmington","Delaware","19807","USA"
"Hanson Research Station","Arthur Chadwick","HRS Fossil Repository","Southwestern Adventist University","100 Hillcrest Dr.","Keene","Texas","76059","USA"
"Fish Collection","Kamal Khidas","PO Box 3443 Stn “D”",,,"Ottawa","Ontario","K1P 6P4","Canada"
"Mammal Collection","Kamal Khidas","PO Box 3443 Stn “D”",,,"Ottawa","Ontario","K1P 6P4","Canada"
"Bird Collection","Kamal Khidas","PO Box 3443 Stn “D”",,,"Ottawa","Ontario","K1P 6P4","Canada"
"Annelid Collection","Jean-Marc Gagnon","PO Box 3443 Stn “D”",,,"Ottawa","Ontario","K1P 6P4","Canada"
"Crustacea Collection","Jean-Marc Gagnon","PO Box 3443 Stn “D",,,"Ottawa","Ontario","K1P 6P4","Canada"
"Mollusc Collection","Jean-Marc Gagnon","PO Box 3443 Stn “D”",,,"Ottawa","Ontario","K1P 6P4","Canada"
"Parasite Collection","Jean-Marc Gagnon","PO Box 3443 Stn “D”",,,"Ottawa","Ontario","K1P 6P4","Canada"
"General Invertebrate Collection","Jean-Marc Gagnon","PO Box 3443 Stn “D”",,,"Ottawa","Ontario","K1P 6P4","Canada"
"Insect Collection","Jean-Marc Gagnon","PO Box 3443 Stn “D”",,,"Ottawa","Ontario","K1P 6P4","Canada"
"National Herbarium of Canada, Vascular Plant Section","Jennifer Doubt","Vascular Plant Section","P.O. Box 3443, Station D",,"Ottawa","Ontario",,"Canada"
"National Herbarium of Canada, Phycology Section","Jennifer Doubt","Phycology Section","P.O. Box 3443, Station D",,"Ottawa","Ontario","K1P 6P4","Canada"
"National Herbarium of Canada, Bryology Section","Jennifer Doubt","Bryology Section","P.O. Box 3443, Station D",,"Ottawa","Ontario",,"Canada"
"National Herbarium of Canada, Lichenology Section","Jennifer Doubt","Lichenology Section","P.O. Box 3443, Station D",,"Ottawa","Ontario",,"Canada"
"Amphibian and Reptile Collection","Kamal Khidas","P.O. Box 3443, Station D",,,"Ottawa","Ontario","K1P 6P4","Canada"
"CA","Dawn Roberts","2430 North Cannon Drive",,,"Chicago","IL","60614","USA"
"CASM","Dawn Roberts","2430 North Cannon Drive",,,"Chicago","IL","60614","USA"
"CACS","Dawn Roberts","2430 North Cannon Drive",,,"Chicago","IL","60614","USA"
"Paleontology","Dr. Dana J. Ehret","Alabama Museum of Natural History","University of Alabama","Box 870340","Tuscaloosa","AL","35487","USA"
"Angelo Coast Range Reserve Invertebrates","UCNRS Information Manager","Peter A. Steel","Angelo Coast Range Reserve","42101 Wilderness Road","Branscomb","CA","95417","USA"
"Angelo Coast Range Reserve Mammal Collection","UCNRS Information Manager","Peter A. Steel","Angelo Coast Range Reserve","42101 Wilderness Road","Branscomb","California","95417","USA"
"Angelo Coast Range Reserve Plant Collection","UCNRS Information Manager","Peter A. Steel","Angelo Coast Range Reserve","42101 Wilderness Road","Branscomb","California","95417","USA"
"Angelo Coast Range Reserve Bird Collection","UCNRS Information Manager","Peter A. Steel","Angelo Coast Range Reserve","42101 Wilderness Road","Branscomb","CA","95417","USA"
"Angelo Coast Range Reserve Herpetology Collection","UCNRS Information Manager","Peter A. Steel","Angelo Coast Range Reserve","42101 Wilderness Road","Branscomb","CA","95417","USA"
"Hymenoptera","Stefan Schmidt","Muenchhausenstr. 21",,,"Munich","Bayern","81247","Germany"
"James San Jacinto Mountains Reserve Invertebrate Collection","UCNRS Information Manager","P.O. Box 1775",,,"Idyllwild","California","92549","USA"
"James San Jacinto Mountains Reserve Mammal Collection","UCNRS Information Manager","PO Box 1775",,,"Idyllwild","CA","92549","USA"
"James San Jacinto Mountains Reserve Plant Collection","UCNRS Information Manager","PO Box 1775",,,"Idyllwild","CA","92549","USA"
"James San Jacinto Mountains Reserve Bird Collection","UCNRS Information Manager","PO Box 1775",,,"Idyllwild","CA","92549","USA"
"James San Jacinto Mountains Reserve Herpetology Collection","UCNRS Information Manager","PO BOC !775",,,"Idyllwild","CA","92549","USA"
"Invertebrate Zoology","Adam Baldinger","Harvard University","Museum of Comparative Zoology","26 Oxford Street","Cambridge","MA","02138","USA"
"Mammalogy","Judy Chupasko","Harvard University","Museum of Comparative Zoology","26 Oxford Street","Cambridge","MA","02138","USA"
"Invertebrate Paleontology","Jessica Cundiff","Harvard University","Museum of Comparative Zoology","26 Oxford Street","Cambrdige","MA","02138","USA"
"Malacology","Adam Baldinger","Harvard University","Museum of Comparative Zoology","26 Oxford Street","Cambridge","MA","02138","USA"
"Ornithology","Jeremiah Trimble","Harvard University","Museum of Comparative Zoology","26 Oxford Street","Cambridge","MA","02138","USA"
"Vertebrate Paleontology","Jessica Cundiff","Harvard University","Museum of Comparative Zoology","26 Oxford Street","Cambridge","MA","02138","USA"
"Arachnida","Vinayak Krishna Patil",,,,"Dapoli",,"415712","India"
"Cryogenics","Breda Zimkus","Museum of Comparative Zoology","Cryogenics Collection","26 Oxford Street","Cambridge","MA","02138","USA"
"UJ DNA Bank","Michelle van der bank",,,,"Johannesburg","Gauteng","2006","South Africa"
"William R. Adams Zooarchaeology Laboratory","Laura Scheiber","Student Building Room 025","Indiana University","405 E. Kirkwood Ave","Bloomington","IN","47405","USA"
"Bird Egg and Nest Specimens","Carla Cicero, PH.D","Museum of Vertebrate Zoology","3101 Valley Life Sciences Building","University of California","Berkeley","CA","94720-3160","USA"
"Hildebrand Specimens","Carol Spencer","Museum of Vertebrate Zoology","3101 Valley Life Sciences Building","University of California","Berkeley","CA","94720-3160","USA"
"Herbarium","Rafaela C. Forzza","Rua Pacheco Leão 915 - Jardim Botânico",,,"Rio de Janeiro","RJ","22460-030","Brazil"
"Xiloteca - Wood collection","Rafaela C. Forzza","Rua Pacheco Leão 915 - Jardim Botânico",,,"Rio de Janeiro","RJ","22460-030","Brazil"
"Carpoteca - Dry Fruits","Rafaela C. Forzza","Rua Pacheco Leão 915 - Jardim Botânico",,,"Rio de Janeiro","RJ","22460-030","Brazil"
"Banco de Sementes - Seed Bank","Rafaela C. Forzza","Rua Pacheco Leão 915 - Jardim Botânico",,,"Rio de Janeiro","RJ","22460-030","Brazil"
"DNA","Rafaela C. Forzza","Rua Pacheco Leão 915 - Jardim Botânico",,,"Rio de Janeiro","RJ","22460-030","Brazil"
"Spirit - Fluid-preserved","Rafaela C. Forzza","Rua Pacheco Leão 915 - Jardim Botânico",,,"Rio de Janeiro","RJ","22460-030","Brazil"
"IU Paleontology Collection","Gary Motz","Department of Geological Sciences","Indiana University","1001 E. 10th St.","Bloomington","IN","47405-1405","USA"
"Audio Collection","Matthew D Medler","159 Sapsucker Woods Rd.",,,"Ithaca","New York","14850","USA"
"Video Collection","Matthew D Medler","159 Sapsucker Woods Rd.",,,"Ithaca","New York","14850","USA"
"Colección de Referencia del Bentos Costero","Norma Emilia Gonzalez Vallejo","Depto. Sistemática y Ecología Acuática","El Colegio de la Frontera Sur","Avenida Centenario km 5.5","Chetumal","Quintana Roo","77016","Mexico"
"Herpetology","Werner Conradie",,,,"Port Elizabeth",,,"South Africa"
